sentences,f1_train_LOC,f1_test_LOC,f1_train_ORG,f1_test_ORG,f1_train_PER,f1_test_PER,f1_train_exact,f1_test_exact
1169,0.9526627218934912,0.4776119402985075,0.957983193277311,0.3252032520325203,0.9985528219971056,0.9534883720930232,0.9849246231155778,0.7591522157996146
1772,0.9509433962264152,0.4883720930232558,0.9827586206896552,0.38983050847457623,0.9995493465525012,0.9560117302052785,0.9903614457831326,0.7769230769230769
2015,0.97,0.5499999999999999,0.9680511182108626,0.44680851063829785,0.999603017070266,0.9588235294117647,0.9900937081659974,0.8079207920792079
2451,0.9741863075196409,0.5,0.9814323607427056,0.43396226415094336,1.0,0.941860465116279,0.9929802169751117,0.7822736030828515
